rank	score	topic	industry	production	impact	reels_fit	title	year	citations	venue	companies	link
440	0.227	adjacent	0.00	0.00	0.00	0.20	Self-Supervised Bot Play for Transcript-Free Conversational Critiquing with Rationales	2024	0	ACM RecSys		https://doi.org/10.1145/3665502
441	0.227	adjacent	0.00	0.00	0.33	0.00	Zone-Enhanced Spatio-Temporal Representation Learning for Urban POI Recommendation	2023	19	IEEE TKDE		https://doi.org/10.1109/tkde.2023.3243239
442	0.226	adjacent	0.00	0.00	0.33	0.00	Joint Gated Co-attention Based Multi-modal Networks for Subregion House Price Prediction	2021	22	IEEE TKDE		https://doi.org/10.1109/tkde.2021.3093881
443	0.226	adjacent	0.00	0.00	0.14	0.00	SARDINE: Simulator for Automated Recommendation in Dynamic and Interactive Environments	2024	3	ACM RecSys		https://doi.org/10.1145/3656481
444	0.226	adjacent	0.00	0.00	0.14	0.00	Improved paper recommendation model incorporating knowledge graph embedding with IRGAN model	2024	3	ACM RecSys		https://doi.org/10.1145/3710898
445	0.225	adjacent	0.00	0.00	0.18	0.00	Light disentangled graph learning for social recommendation	2025	4	TheWebConf / WWW		https://doi.org/10.1007/s11280-025-01342-2
446	0.225	adjacent	0.00	0.00	0.18	0.20	FairCDSR: Fairness-Aware Cross-Domain Sequential Recommendation via Multi-Interest Transfer and Contrastive Learning	2025	4	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3582297
447	0.225	adjacent	0.00	0.00	0.18	0.00	Fractal scaling laws for the dynamic evolution of sentiments in Never Let Me Go and their implications for writing, adaptation and reading of novels	2021	5	TheWebConf / WWW		https://doi.org/10.1007/s11280-021-00892-5
448	0.224	adjacent	0.00	0.00	0.32	0.00	Adversarial Item Promotion on Visually-Aware Recommender Systems by Guided Diffusion	2024	15	ACM TOIS		https://doi.org/10.1145/3666088
449	0.224	adjacent	0.00	0.00	0.17	0.00	Sequential-hierarchical attention network: Exploring the hierarchical intention feature in POI recommendation	2024	4	TheWebConf / WWW		https://doi.org/10.1007/s11280-024-01295-y
450	0.223	adjacent	0.00	0.00	0.20	0.20	CasFT: Future Trend Modeling for Information Popularity Prediction with Dynamic Cues-Driven Diffusion Models	2025	5	AAAI		https://doi.org/10.1609/aaai.v39i11.33296
451	0.223	adjacent	0.00	0.25	0.00	0.00	ERA: Meta Representation Alignment for Data Bias Mitigation in Recommendations	2026	0	ACM TOIS		https://doi.org/10.1145/3806832
452	0.223	adjacent	0.00	0.25	0.00	0.00	EffiPOI: A Product Quantization Framework Based on Knowledge Distillation for Efficient POI Recommendations	2026	0	ACM TOIS		https://doi.org/10.1145/3789267
453	0.223	adjacent	0.00	0.25	0.00	0.00	FocusKG: A Novel Multimodal Knowledge Graph Dataset With Temporal Information for Link Prediction	2026	0	IEEE TKDE		https://doi.org/10.1109/tkde.2026.3698924
454	0.223	adjacent	0.00	0.00	0.16	0.20	Teach and Explore: A Multiplex Information-guided Effective and Efficient Reinforcement Learning for Sequential Recommendation	2023	4	ACM TOIS		https://doi.org/10.1145/3630003
455	0.223	adjacent	0.00	0.00	0.31	0.00	MCN4Rec: Multi-level Collaborative Neural Network for Next Location Recommendation	2024	14	ACM TOIS		https://doi.org/10.1145/3643669
456	0.222	adjacent	0.00	0.00	0.31	0.00	Semantic and Structural View Fusion Modeling for Social Recommendation	2022	17	IEEE TKDE		https://doi.org/10.1109/tkde.2022.3230972
457	0.222	adjacent	0.00	0.00	0.20	0.00	RLMob	2022	6	WSDM		https://doi.org/10.1145/3488560.3498438
458	0.222	adjacent	0.00	0.00	0.34	0.00	Degree Planning with PLAN-BERT: Multi-Semester Recommendation Using Future Courses of Interest	2021	24	AAAI		https://doi.org/10.1609/aaai.v35i17.17751
459	0.222	adjacent	0.00	0.00	0.19	0.20	Modeling High-order Interactions across Multi-interests for Micro-video Reommendation (Student Abstract)	2021	6	AAAI		https://doi.org/10.1609/aaai.v35i18.17969
460	0.222	adjacent	0.00	0.00	0.12	0.00	Unbiased Interest Modeling in Sequential Basket Analysis: Addressing Repetition Bias with Multi-Factor Estimation	2025	2	ACM RecSys		https://doi.org/10.1145/3718100
461	0.221	adjacent	0.00	0.00	0.30	0.00	DeepAltTrip: Top-K Alternative Itineraries for Trip Recommendation	2023	15	IEEE TKDE		https://doi.org/10.1109/tkde.2023.3239595
462	0.221	adjacent	0.00	0.00	0.34	0.00	Knowledge-Aware Explainable Reciprocal Recommendation	2024	17	AAAI		https://doi.org/10.1609/aaai.v38i8.28708
463	0.221	adjacent	0.00	0.00	0.15	0.20	Causal Structure Representation Learning of Unobserved Confounders in Latent Space for Recommendation	2025	3	ACM TOIS		https://doi.org/10.1145/3731447
464	0.221	adjacent	0.00	0.00	0.22	0.00	Denoising Time Cycle Modeling for Recommendation	2022	8	SIGIR		https://doi.org/10.1145/3477495.3531785
465	0.221	adjacent	0.00	0.00	0.37	0.00	ContextGNN: Beyond Two-Tower Recommendation Systems	2024	21	ICLR		https://doi.org/10.48550/arXiv.2411.19513
466	0.220	adjacent	0.00	0.00	0.14	0.00	Invariant representation learning to popularity distribution shift for recommendation	2024	3	TheWebConf / WWW		https://doi.org/10.1007/s11280-024-01242-x
467	0.219	adjacent	0.00	0.00	0.29	0.00	Modeling Multiple Coexisting Category-Level Intentions for Next Item Recommendation	2021	15	ACM TOIS		https://doi.org/10.1145/3441642
468	0.219	adjacent	0.00	0.00	0.14	0.00	Zebra: A novel method for optimizing text classification query in overload scenario	2022	3	TheWebConf / WWW		https://doi.org/10.1007/s11280-022-01061-y
469	0.218	adjacent	0.00	0.00	0.28	0.00	A Multi-channel Next POI Recommendation Framework with Multi-granularity Check-in Signals	2023	13	ACM TOIS		https://doi.org/10.1145/3592789
470	0.218	adjacent	0.00	0.00	0.32	0.00	REMIT: Reinforced Multi-Interest Transfer for Cross-Domain Recommendation	2023	17	AAAI		https://doi.org/10.1609/aaai.v37i8.26181
471	0.217	adjacent	0.00	0.00	0.28	0.00	BGNN-XML: Bilateral Graph Neural Networks for Extreme Multi-label Text Classification	2022	13	IEEE TKDE		https://doi.org/10.1109/tkde.2022.3193657
472	0.217	adjacent	0.00	0.25	0.00	0.00	Behavior Tokens Speak Louder: Disentangled Explainable Recommendation with Behavior Vocabulary	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i25.39252
473	0.217	adjacent	0.00	0.25	0.00	0.00	MM4Rec: Multi-Source and Multi-Scenario Recommender for Unified User Preference	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i19.38655
474	0.217	adjacent	0.00	0.25	0.00	0.00	Core Knowledge Learning Framework for Graph	2025	0	AAAI		https://doi.org/10.1609/aaai.v39i12.33438
475	0.217	adjacent	0.00	0.00	0.16	0.20	Context Uncertainty in Contextual Bandits with Applications to Recommender Systems	2022	4	AAAI		https://doi.org/10.1609/aaai.v36i8.20831
476	0.216	adjacent	0.00	0.00	0.12	0.00	A self-supervised graph-learning method for reliable-relation identification in social recommendation	2025	2	TheWebConf / WWW		https://doi.org/10.1007/s11280-025-01330-6
477	0.216	adjacent	0.00	0.00	0.12	0.00	Integrating context and criteria: a multi-head attention-based approach for multi-criteria group recommender systems	2025	2	TheWebConf / WWW		https://doi.org/10.1007/s11280-025-01358-8
478	0.216	adjacent	0.00	0.00	0.12	0.20	Explainable Recommendation with Simulated Human Feedback	2025	2	ACM TOIS		https://doi.org/10.1145/3758091
479	0.216	adjacent	0.00	0.00	0.12	0.20	Causal Inference for Multi-Criteria Rating Recommender Systems	2025	2	ACM TOIS		https://doi.org/10.1145/3757737
480	0.216	adjacent	0.00	0.00	0.12	0.20	HORAE: Temporal Multi-Interest Pre-training for Sequential Recommendation	2025	2	ACM TOIS		https://doi.org/10.1145/3727645
481	0.215	adjacent	0.00	0.00	0.30	0.00	Factual and Informative Review Generation for Explainable Recommendation	2023	15	AAAI		https://doi.org/10.1609/aaai.v37i11.26618
482	0.215	adjacent	0.00	0.00	0.26	0.00	Learning Hierarchical Preferences for Recommendation With Mixture Intention Neural Stochastic Processes	2024	10	IEEE TKDE		https://doi.org/10.1109/tkde.2023.3348493
483	0.215	adjacent	0.00	0.00	0.00	0.40	Hyperbolic-Enhanced Mixture-of-Experts Mamba for Sequential Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i18.38567
484	0.215	adjacent	0.00	0.00	0.00	0.20	Information behaviour research: Global insights and African realities	2026	0	CIKM		https://doi.org/10.4314/iijikm.v16i2.3
485	0.215	adjacent	0.00	0.00	0.00	0.40	Relative Advantage Debiasing for Watch-Time Prediction in Short-Video Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i18.38555
486	0.215	adjacent	0.00	0.00	0.00	0.40	DiMA: Distinguishing Resident and Tourist Preferences via Multi-Modal LLM Alignment for Out-of-Town Cross-Domain Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i19.38663
487	0.215	adjacent	0.00	0.00	0.00	0.20	Evaluation of Natural Language Processing Techniques for Information Retrieval	2024	0	CIKM		https://doi.org/10.47941/ejikm.1752
488	0.215	adjacent	0.00	0.00	0.15	0.20	Multi-Modal Recommendation Unlearning for Legal, Licensing, and Modality Constraints	2025	3	AAAI		https://doi.org/10.1609/aaai.v39i12.33367
489	0.215	adjacent	0.00	0.00	0.26	0.00	A Novel Probabilistic Label Enhancement Algorithm for Multi-Label Distribution Learning	2021	12	IEEE TKDE		https://doi.org/10.1109/tkde.2021.3054465
490	0.215	adjacent	0.00	0.00	0.26	0.00	RatioRF: a novel measure for Random Forest clustering based on the Tversky's Ratio model	2021	12	IEEE TKDE		https://doi.org/10.1109/tkde.2021.3086147
491	0.215	adjacent	0.00	0.00	0.11	0.20	A Framework for Elastic Adaptation of User Multiple Intents in Sequential Recommendation	2024	2	IEEE TKDE		https://doi.org/10.1109/tkde.2024.3354796
492	0.215	adjacent	0.00	0.00	0.11	0.20	LTP-MMF: Toward Long-Term Provider Max-Min Fairness under Recommendation Feedback Loops	2024	2	ACM TOIS		https://doi.org/10.1145/3695867
493	0.214	adjacent	0.00	0.00	0.07	0.00	Intention-sensitive Preference Learning Network for Personalized Session-based Recommendation	2025	1	ACM RecSys		https://doi.org/10.1145/3727647
494	0.214	adjacent	0.00	0.00	0.26	0.00	A Survey on Side Information-Driven Session-Based Recommendation: From a Data-Centric Perspective	2025	8	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3569549
495	0.214	adjacent	0.00	0.00	0.26	0.00	MetaCAR: Cross-Domain Meta-Augmentation for Content-Aware Recommendation	2022	11	IEEE TKDE		https://doi.org/10.1109/tkde.2022.3209005
496	0.214	adjacent	0.00	0.00	0.33	0.00	Self-Updatable Large Language Models by Integrating Context into Model Parameters	2024	16	ICLR		https://www.semanticscholar.org/paper/d24f2b7c7a6b356a7855430443fd4b468d73dc56
497	0.214	adjacent	0.00	0.00	0.33	0.00	Taming the Long Tail in Human Mobility Prediction	2024	16	NeurIPS		https://doi.org/10.48550/arXiv.2410.14970
498	0.213	adjacent	0.00	0.00	0.25	0.00	FASTER: A Dynamic Fairness-assurance Strategy for Session-based Recommender Systems	2023	10	ACM TOIS		https://doi.org/10.1145/3586993
499	0.213	adjacent	0.00	0.00	0.25	0.00	Learning Region Similarities via Graph-Based Deep Metric Learning	2023	10	IEEE TKDE		https://doi.org/10.1109/tkde.2023.3253802
500	0.213	adjacent	0.00	0.00	0.14	0.00	Combinatorial Bandits under Strategic Manipulations	2022	3	WSDM		https://doi.org/10.1145/3488560.3498413
501	0.211	adjacent	0.00	0.00	0.16	0.00	The 10th International Workshop on News Recommendation and Analytics (INRA 2022)	2022	4	SIGIR		https://doi.org/10.1145/3477495.3531705
502	0.210	adjacent	0.00	0.00	0.12	0.20	Intent Oriented Contrastive Learning for Sequential Recommendation	2025	2	AAAI		https://doi.org/10.1609/aaai.v39i12.33390
503	0.208	adjacent	0.00	0.00	0.07	0.20	Large Language Model Can Interpret Latent Space of Sequential Recommender	2025	1	ACM TOIS		https://doi.org/10.1145/3786201
504	0.208	adjacent	0.00	0.00	0.07	0.20	Large Language Models Meet Causal Inference: Semantic-Rich Dual Propensity Score for Sequential Recommendation	2025	1	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3606149
505	0.208	adjacent	0.00	0.00	0.29	0.00	Kernel Identification Through Transformers	2021	16	NeurIPS		https://www.semanticscholar.org/paper/f693643d3e8499e56452ac96d05318aae077c0e5
506	0.205	adjacent	0.00	0.00	0.28	0.00	User-item fairness tradeoffs in recommendations	2024	11	NeurIPS		https://doi.org/10.48550/arXiv.2412.04466
507	0.205	adjacent	0.00	0.00	0.20	0.00	A Novel Benford’s Law-Driven Approach for Detecting Machine-Generated Text	2025	5	ACM TOIS		https://doi.org/10.1145/3748305
508	0.205	adjacent	0.00	0.00	0.20	0.00	MSDS: A Novel Framework for Multi-Source Data Selection Based Cross-Network Node Classification	2023	6	IEEE TKDE		https://doi.org/10.1109/tkde.2023.3277957
509	0.203	adjacent	0.00	0.00	0.19	0.00	MF-GSLAE: A Multi-Factor User Representation Pre-Training Framework for Dual-Target Cross-Domain Recommendation	2024	5	ACM TOIS		https://doi.org/10.1145/3690382
510	0.203	adjacent	0.00	0.00	0.19	0.00	TCKT: Tree-Based Cross-domain Knowledge Transfer for Next POI Cold-Start Recommendation	2024	5	ACM TOIS		https://doi.org/10.1145/3709137
511	0.203	adjacent	0.00	0.00	0.00	0.00	Unifying Isolated Processes for Enhanced Multi-modal Recommendations Using a Graph Transformer	2025	0	ACM RecSys		https://doi.org/10.1145/3760762
512	0.203	adjacent	0.00	0.00	0.00	0.00	Solving the Contextual Pure Cold-Start Problem under Uncertainty	2025	0	ACM RecSys		https://doi.org/10.1145/3729245
513	0.203	adjacent	0.00	0.00	0.07	0.20	StyleTailor: Towards Personalized Fashion Styling via Hierarchical Negative Feedback	2026	1	AAAI		https://doi.org/10.1609/aaai.v40i35.40202
514	0.202	adjacent	0.00	0.00	0.18	0.00	Establishing Design Consensus toward Next-Generation Retail: Data-Enabled Design Exploration and Participatory Analysis	2022	5	ACM CHI		https://doi.org/10.1145/3491102.3517637
515	0.202	adjacent	0.00	0.00	0.18	0.00	Exploring Time-aware Multi-pattern Group Venue Recommendation in LBSNs	2022	5	ACM TOIS		https://doi.org/10.1145/3564280
516	0.200	adjacent	0.00	0.00	0.24	0.00	Graph World Model	2025	7	ICML		https://doi.org/10.48550/arXiv.2507.10539
517	0.197	adjacent	0.00	0.00	0.00	0.20	M $^{2}$ Rec: <u>M</u> ulti-scale <u>M</u> amba for Efficient Sequential <u>Rec</u> ommendation	2026	0	IEEE TKDE		https://doi.org/10.1109/tkde.2026.3700323
518	0.197	adjacent	0.00	0.00	0.00	0.20	Smoothed Intent Learning for Sequential Recommendation	2026	0	ACM TOIS		https://doi.org/10.1145/3820247
519	0.197	adjacent	0.00	0.00	0.00	0.00	Knowledge-aware recommendation system based on cohesive and collaborative enhanced contrastive learning	2025	0	TheWebConf / WWW		https://doi.org/10.1007/s11280-025-01396-2
520	0.197	adjacent	0.00	0.00	0.00	0.20	Representation-Enhanced Cascading Multi-Level Interest Learning for Multi-Behavior Recommendation	2025	0	ACM TOIS		https://doi.org/10.1145/3786341
521	0.197	adjacent	0.00	0.00	0.00	0.20	AutoSR: Automatic Sequential Recommendation System Design	2024	0	IEEE TKDE		https://doi.org/10.1109/tkde.2024.3400031
522	0.197	adjacent	0.00	0.00	0.00	0.00	TSEE: a novel knowledge embedding framework for cyberspace security	2023	0	TheWebConf / WWW		https://doi.org/10.1007/s11280-023-01220-9
523	0.197	adjacent	0.00	0.00	0.00	0.00	SciBiD: Novel Scientometrics and NoSQL-enabled Scalable and domain-specific Analysis of Big Scholar Data	2021	0	TheWebConf / WWW		https://doi.org/10.1145/3442442.3453544
524	0.197	adjacent	0.00	0.00	0.15	0.00	Latent Factor Modeling With Expert Network for Multi-Behavior Recommendation	2025	3	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3591503
525	0.197	adjacent	0.00	0.00	0.15	0.00	User Invariant Preference Learning for Multi-Behavior Recommendation	2025	3	ACM TOIS		https://doi.org/10.1145/3728465
526	0.197	adjacent	0.00	0.00	0.15	0.00	Bottlenecked Heterogeneous Graph Contrastive Learning for Robust Recommendation	2025	3	ACM TOIS		https://doi.org/10.1145/3750725
527	0.196	adjacent	0.00	0.00	0.14	0.00	Can Perturbations Help Reduce Investment Risks? Risk-aware Stock Recommendation via Split Variational Adversarial Training	2024	3	ACM TOIS		https://doi.org/10.1145/3643131
528	0.195	adjacent	0.00	0.00	0.14	0.00	Marching with the Pink Parade: Evaluating Visual Search Recommendations for Non-binary Clothing Items	2022	3	ACM CHI		https://doi.org/10.1145/3491101.3503572
529	0.193	adjacent	0.00	0.00	0.20	0.00	Wyze Rule: Federated Rule Dataset for Rule Recommendation Benchmarking	2023	6	NeurIPS		https://www.semanticscholar.org/paper/df7ac450d951309e5b94d9c8a6cfb4d18699bbac
530	0.192	adjacent	0.00	0.00	0.12	0.00	Independent or Social Driven Decision? A Counterfactual Refinement Strategy for Graph-Based Social Recommendation	2025	2	ACM TOIS		https://doi.org/10.1145/3717830
531	0.192	adjacent	0.00	0.00	0.12	0.00	Dual-Adaptive Update Strategies-Enhanced Meta-Optimization for User Cold-Start Recommendation	2025	2	ACM TOIS		https://doi.org/10.1145/3746634
532	0.191	adjacent	0.00	0.00	0.00	0.20	Semantic-Aware Data Augmentation for Sequential Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i48.42328
533	0.191	adjacent	0.00	0.00	0.00	0.00	Bibliotherapy Features in Children’s Literature: A Systematic Literature Review	2025	0	CIKM		https://doi.org/10.24191/jikm.v15i1.4592
534	0.191	adjacent	0.00	0.00	0.15	0.00	Trust-GRS: A Trustworthy Training Framework for Graph Neural Network Based Recommender Systems Against Shilling Attacks	2025	3	AAAI		https://doi.org/10.1609/aaai.v39i12.33352
535	0.190	adjacent	0.00	0.00	0.11	0.00	Efficient and Optimal Algorithms for Tree Summarization with Weighted Terminologies	2021	2	IEEE TKDE		https://doi.org/10.1109/tkde.2021.3120722
536	0.189	adjacent	0.00	0.00	0.18	0.00	SIMPLEMIX: Frustratingly Simple Mixing of Off- and On-policy Data in Language Model Preference Learning	2025	4	ICML		https://doi.org/10.48550/arXiv.2505.02363
537	0.186	adjacent	0.00	0.00	0.12	0.00	GenAL: Generative Agent for Adaptive Learning	2025	2	AAAI		https://doi.org/10.1609/aaai.v39i1.32038
538	0.185	adjacent	0.00	0.00	0.11	0.00	Bayesian Inference with Complex Knowledge Graph Evidence	2024	2	AAAI		https://doi.org/10.1609/aaai.v38i18.30040
539	0.184	adjacent	0.00	0.00	0.07	0.00	Graph-Structured Driven Dual Adaptation for Mitigating Popularity Bias	2025	1	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3638343
540	0.184	adjacent	0.00	0.00	0.07	0.00	GCTN: Graph Competitive Transfer Network for Cross-Domain Multi-Behavior Prediction	2025	1	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3554610
541	0.184	adjacent	0.00	0.00	0.07	0.00	Augmentation with Neighboring Information for Conversational Recommendation	2025	1	ACM TOIS		https://doi.org/10.1145/3712588
542	0.184	adjacent	0.00	0.00	0.07	0.00	EIGA: A Novel Genetic Algorithm Based on Edge Information for Community Detection in Weighted Social Networks	2025	1	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3619494
543	0.184	adjacent	0.00	0.00	0.11	0.00	Disposable Linear Bandits for Online Recommendations	2021	2	AAAI		https://doi.org/10.1609/aaai.v35i5.16540
544	0.184	adjacent	0.00	0.00	0.07	0.00	A Novel Key Point Based MLCS Algorithm for Big Sequences Mining	2024	1	IEEE TKDE		https://doi.org/10.1109/tkde.2024.3485234
545	0.183	adjacent	0.00	0.00	0.14	0.00	Multi-Task Differential Privacy Under Distribution Skew	2023	3	ICML		https://doi.org/10.48550/arXiv.2302.07975
546	0.178	adjacent	0.00	0.00	0.07	0.00	POI Recommendation via Multi-Objective Adversarial Imitation Learning	2025	1	AAAI		https://doi.org/10.1609/aaai.v39i12.33382
547	0.178	adjacent	0.00	0.00	0.07	0.00	GeoMamba: Towards Multi-granular POI Recommendation with Geographical State Space Model	2025	1	AAAI		https://doi.org/10.1609/aaai.v39i12.33360
548	0.173	adjacent	0.00	0.00	0.00	0.00	ProitMTA: A Multi-Target Model Poisoning Attack Framework for Federated Recommendation Systems With Proxy Items	2026	0	IEEE TKDE		https://doi.org/10.1109/tkde.2026.3678755
549	0.173	adjacent	0.00	0.00	0.00	0.00	Caf4AVC: LLM-Enhanced Collaborative Framework for Attribute Value Canonicalization in Open KBs	2026	0	IEEE TKDE		https://doi.org/10.1109/tkde.2026.3702048
550	0.173	adjacent	0.00	0.00	0.00	0.00	Nuanced Differences, Profound Impact: A Comparative Learning-Enhanced Knowledge Graph Recommender for Expert Identification in Specialized Medical Fields	2026	0	ACM TOIS		https://doi.org/10.1145/3797873
551	0.173	adjacent	0.00	0.00	0.00	0.00	Double Enhancement Framework for Long-Tail Recommendation	2026	0	IEEE TKDE		https://doi.org/10.1109/tkde.2026.3671215
552	0.173	adjacent	0.00	0.00	0.00	0.00	Knowledge Graph-based Debiasing for Trustworthy Recommendation Systems	2026	0	IEEE TKDE		https://doi.org/10.1109/tkde.2026.3702349
553	0.173	adjacent	0.00	0.00	0.00	0.00	M4Rec: Multi-Modal Knowledge Graph Modeling of Multi-Dimensional User Preferences for Next-POI Recommendation	2026	0	IEEE TKDE		https://doi.org/10.1109/tkde.2026.3677245
554	0.173	adjacent	0.00	0.00	0.00	0.00	Multi-Relation Enhanced Dynamic Hypergraph for Session-based Recommendation	2025	0	ACM TOIS		https://doi.org/10.1145/3779422
555	0.173	adjacent	0.00	0.00	0.00	0.00	A3BRec: A Novel Association-Integration Sequential Basket Recommendation	2025	0	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3630571
556	0.173	adjacent	0.00	0.00	0.00	0.00	1HIkDA: A Novel Privacy Preserving Framework for Graph Data Publication	2025	0	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3621678
557	0.167	adjacent	0.00	0.00	0.00	0.00	VBF++: Variational Bayesian Fusion with Context-Aware Priors and Recommendation-Guided Adversarial Refinement for Multimodal Video Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i17.38469
558	0.167	adjacent	0.00	0.00	0.00	0.00	Federated Vision-Language-Recommendation with Personalized Fusion	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i28.39503
559	0.167	adjacent	0.00	0.00	0.00	0.00	Bidirectional Counterfactual Distillation for Review-Based Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i18.38598
560	0.167	adjacent	0.00	0.00	0.00	0.00	Multifaceted Scenario-Aware Hypergraph Learning for Next POI Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i18.38552
561	0.167	adjacent	0.00	0.00	0.00	0.00	Multi-Aspect Cross-modal Quantization for Generative Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i19.38664
562	0.167	adjacent	0.00	0.00	0.00	0.00	UNO! UNified Offline Training Paradigm for Learning Path Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i18.38591
563	0.167	adjacent	0.00	0.00	0.00	0.00	Multi-Granular Graph Learning with Fine-Grained Behavioral Pattern Awareness for Session-Based Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i27.39468
564	0.167	adjacent	0.00	0.00	0.00	0.00	NP-MiSR: Neural Process-based Multi-Interest Learning for Session-Based Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i17.38463
565	0.167	adjacent	0.00	0.00	0.00	0.00	Membership Inference Attack Against Large Language Model-Based Recommendation Systems: A New Distillation-Based Paradigm	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i27.39449
566	0.167	adjacent	0.00	0.00	0.00	0.00	Tokenize Once, Recommend Anywhere: Unified Item Tokenization for Multi-domain LLM-based Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i17.38505
567	0.167	adjacent	0.00	0.00	0.00	0.00	MultiTab: A Scalable Foundation for Multitask Learning on Tabular Data	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i30.39745
568	0.167	adjacent	0.00	0.00	0.00	0.00	Conceptualisation and Implementation of Human-centric Privacy Preserving Framework for Explainable AI	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i48.42140
569	0.167	adjacent	0.00	0.00	0.00	0.00	LLM4Sweat: A Trustworthy Large Language Model for Hyperhidrosis Support	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i47.41471
570	0.167	adjacent	0.00	0.00	0.00	0.00	NumCoKE: Ordinal-Aware Numerical Reasoning over Knowledge Graphs with Mixture-of-Experts and Contrastive Learning	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i19.38653
571	0.167	adjacent	0.00	0.00	0.00	0.00	Interest-driven Deep Multi-modal Clustering	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i34.40167
572	0.167	adjacent	0.00	0.00	0.00	0.00	Multi-graph Fusion Cross-model Contrastive Learning for Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i18.38580
573	0.167	adjacent	0.00	0.00	0.00	0.00	Explicit Intent-Enhanced Knowledge Distillation for Trip Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i2.37090
574	0.167	adjacent	0.00	0.00	0.00	0.00	Auto Encoding Neural Process for Multi-interest Recommendation	2025	0	AAAI		https://doi.org/10.1609/aaai.v39i11.33293
575	0.167	adjacent	0.00	0.00	0.00	0.00	When Should We Prefer State-to-Visual DAgger over Visual Reinforcement Learning?	2025	0	AAAI		https://doi.org/10.1609/aaai.v39i14.33604
576	0.167	adjacent	0.00	0.00	0.00	0.00	Alleviating Dual Biases in Recommendation (Student Abstract)	2025	0	AAAI		https://doi.org/10.1609/aaai.v39i28.35273
577	0.167	adjacent	0.00	0.00	0.00	0.00	ScoreNet: Consistency-driven Framework with Multi-side Information Fusion for Session-based Recommendation	2025	0	AAAI		https://doi.org/10.1609/aaai.v39i12.33381
578	0.161	adjacent	0.00	0.00	0.00	0.00	AuTGeLy: Automatic Title Generator based on Song Lyrics Extractions	2021	0	ICML		https://doi.org/10.1109/icmla52953.2021.00254
579	0.126	weak	0.00	0.00	0.25	0.00	Ready Player One! Eliciting Diverse Knowledge Using A Configurable Game	2022	10	TheWebConf / WWW		https://doi.org/10.1145/3485447.3512241
580	0.088	weak	0.00	0.00	0.16	0.00	Dynamically Optimizing Display Advertising Profits under Diverse Budget Settings	2021	4	IEEE TKDE		https://doi.org/10.1109/tkde.2021.3077699
581	0.087	weak	0.00	0.00	0.00	0.00	Capturing Diverse and Precise Reactions to a Comment with User-Generated Labels	2022	0	TheWebConf / WWW		https://doi.org/10.1145/3485447.3512243
582	0.074	weak	0.00	0.00	0.07	0.00	MSC-DOLES: Multi-View Subspace Clustering in Diverse Orthogonal Latent Embedding Spaces	2025	1	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3610659
583	0.057	weak	0.00	0.00	0.00	0.00	PosPrune: Visual Token Pruning with Positional Bias Correction for Efficient Large Vision-Language Models	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i13.38020
